"Date","Result","Against","Stadium","Competition","Season"
"06.01.2012","5 - 1","Oldham Athletic","Anfield","FA Cup 3rd round","2011"
"11.01.2012","1 - 0","Manchester City","Etihad Sradium","League Cup Semi-final 1st leg","2011"
"14.01.2012","0 - 0","Stoke City","Anfield","Premier League","2011"
"21.01.2012","1 - 3","Bolton Wanderers","Reebok Stadium","Premier League","2011"
"25.01.2012","2 - 2","Manchester City","Anfield","League Cup Semi-final 2nd leg","2011"
"28.01.2012","2 - 1","Manchester United","Anfield","FA Cup 4th round","2011"
"31.01.2012","3 - 0","Wolves","Molineux","Premier League","2011"
"06.02.2012","0 - 0","Tottenham Hotspur","Anfield","Premier League","2011"
"11.02.2012","1 - 2","Manchester United","Old Trafford","Premier League","2011"
"19.02.2012","6 - 1","Brighton & Hove Albion","Anfield","FA Cup 5th round","2011"
"26.02.2012","2 - 2","Cardiff City","Wembley","League Cup Final","2011"
"03.03.2012","1 - 2","Arsenal","Anfield","Premier League","2011"
"10.03.2012","0 - 1","Sunderland","Stadium of Light","Premier League","2011"
"13.03.2012","3 - 0","Everton","Anfield","Premier League","2011"
"18.03.2012","2 - 1","Stoke City","Anfield","FA Cup 6th round","2011"
"21.03.2012","2 - 3","Queens Park Rangers","Loftus Road","Premier League","2011"
"24.03.2012","1 - 2","Wigan Athletic","Anfield","Premier League","2011"
"01.04.2012","0 - 2","Newcastle United","St James' Park","Premier League","2011"
"07.04.2012","1 - 1","Aston Villa","Anfield","Premier League","2011"
"10.04.2012","3 - 2","Blackburn Rovers","Ewood Park","Premier League","2011"
"14.04.2012","2 - 1","Everton","Wembley","FA Cup Semi-final","2011"
"22.04.2012","0 - 1","West Bromwich Albion","Anfield","Premier League","2011"
"28.04.2012","3 - 0","Norwich City","Carrow Road","Premier League","2011"
"01.05.2012","0 - 1","Fulham","Anfield","Premier League","2011"
"05.05.2012","1 - 2","Chelsea","Wembley","FA Cup Final","2011"
"08.05.2012","4 - 1","Chelsea","Anfield","Premier League","2011"
"13.05.2012","0 - 1","Swansea City","Liberty Stadium","Premier League","2011"
"02.08.2012","1 - 0","Gomel","Central Stadion","Europa League 3rd Qualifying Round 1st Leg","2012"
"09.08.2012","3 - 0","Gomel","Anfield","Europa League 3rd Qualifying Round 2nd Leg","2012"
"18.08.2012","0 - 3","West Bromwich Albion","The Hawthorns","Premier League","2012"
"23.08.2012","1 - 0","Heart Of Midlothian","Tynecastle Stadium","Europa League Play-off 1st Leg","2012"
"26.08.2012","2 - 2","Manchester City","Anfield","Premier League","2012"
"30.08.2012","1 - 1","Heart Of Midlothian","Anfield","Europa League Play-off 2nd Leg","2012"
"02.09.2012","0 - 2","Arsenal","Anfield","Premier League","2012"
"15.09.2012","1 - 1","Sunderland","Stadium of Light","Premier League","2012"
"20.09.2012","5 - 3","Young Boys","Stade de Suisse","Europa League Group Stage","2012"
"23.09.2012","1 - 2","Manchester United","Anfield","Premier League","2012"
"26.09.2012","2 - 1","West Bromwich Albion","The Hawthorns","League Cup 3rd round","2012"
"29.09.2012","5 - 2","Norwich City","Carrow Road","Premier League","2012"
"04.10.2012","2 - 3","Udinese","Anfield","Europa League Group Stage","2012"
"07.10.2012","0 - 0","Stoke City","Anfield","Premier League","2012"
"20.10.2012","1 - 0","Reading","Anfield","Premier League","2012"
"25.10.2012","1 - 0","Anzhi Makhachkala","Anfield","Europa League Group Stage","2012"
"28.10.2012","2 - 2","Everton","Goodison Park","Premier League","2012"
"31.10.2012","1 - 3","Swansea City","Anfield","League Cup 4th round","2012"
"04.11.2012","1 - 1","Newcastle United","Anfield","Premier League","2012"
"08.11.2012","0 - 1","Anzhi Makhachkala","Lokomotiv Stadium","Europa League Group Stage","2012"
"11.11.2012","1 - 1","Chelsea","Stamford Bridge","Premier League","2012"
"17.11.2012","3 - 0","Wigan Athletic","Anfield","Premier League","2012"
"22.11.2012","2 - 2","Young Boys","Anfield","Europa League Group Stage","2012"
"25.11.2012","0 - 0","Swansea City","Liberty Stadium","Premier League","2012"
"28.11.2012","1 - 2","Tottenham Hotspur","White Hart Lane","Premier League","2012"
"01.12.2012","1 - 0","Southampton","Anfield","Premier League","2012"
"06.12.2012","1 - 0","Udinese","Stadio Friuli","Europa League Group Stage","2012"
"09.12.2012","3 - 2","West Ham United","Upton Park","Premier League","2012"
"15.12.2012","1 - 3","Aston Villa","Anfield","Premier League","2012"
"22.12.2012","4 - 0","Fulham","Anfield","Premier League","2012"
"26.12.2012","1 - 3","Stoke City","Britannia Stadium","Premier League","2012"
"30.12.2012","3 - 0","Queens Park Rangers","Loftus Road","Premier League","2012"
"02.01.2013","3 - 0","Sunderland","Anfield","Premier League","2012"
"06.01.2013","2 - 1","Mansfield Town","Field Mill","FA Cup 3rd round","2012"
"13.01.2013","1 - 2","Manchester United","Old Trafford","Premier League","2012"
"19.01.2013","5 - 0","Norwich City","Anfield","Premier League","2012"
"27.01.2013","2 - 3","Oldham Athletic","Boundary Park","FA Cup 4th round","2012"
"30.01.2013","2 - 2","Arsenal","Emirates Stadium","Premier League","2012"
"03.02.2013","2 - 2","Manchester City","Etihad Sradium","Premier League","2012"
"11.02.2013","0 - 2","West Bromwich Albion","Anfield","Premier League","2012"
