"Date","Result","Against","Stadium","Competition","Season"
"03.10.2007","0 - 1","Marseille","Anfield","Champions League First Group Phase","2007"
"07.10.2007","2 - 2","Tottenham Hotspur","Anfield","Premier League","2007"
"20.10.2007","2 - 1","Everton","Goodison Park","Premier League","2007"
"24.10.2007","1 - 2","Besiktas","Inonu Stadium","Champions League First Group Phase","2007"
"28.10.2007","1 - 1","Arsenal","Anfield","Premier League","2007"
"31.10.2007","2 - 1","Cardiff City","Anfield","League Cup 4th round","2007"
"03.11.2007","0 - 0","Blackburn Rovers","Ewood Park","Premier League","2007"
"06.11.2007","8 - 0","Besiktas","Anfield","Champions League First Group Phase","2007"
"10.11.2007","2 - 0","Fulham","Anfield","Premier League","2007"
"24.11.2007","3 - 0","Newcastle United","St James' Park","Premier League","2007"
"28.11.2007","4 - 1","Porto","Anfield","Champions League First Group Phase","2007"
"02.12.2007","4 - 0","Bolton Wanderers","Anfield","Premier League","2007"
"08.12.2007","1 - 3","Reading","Madejski Stadium","Premier League","2007"
"11.12.2007","4 - 0","Marseille","Velodrome","Champions League First Group Phase","2007"
"16.12.2007","0 - 1","Manchester United","Anfield","Premier League","2007"
"19.12.2007","0 - 2","Chelsea","Stamford Bridge","League Cup 5th round","2007"
"22.12.2007","4 - 1","Portsmouth","Anfield","Premier League","2007"
"26.12.2007","2 - 1","Derby County","Pride Park","Premier League","2007"
"30.12.2007","0 - 0","Manchester City","City of Manchester Stadium","Premier League","2007"
"02.01.2008","1 - 1","Wigan Athletic","Anfield","Premier League","2007"
"06.01.2008","1 - 1","Luton Town","Kenilworth Road","FA Cup 3rd round","2007"
"12.01.2008","1 - 1","Middlesbrough","Riverside","Premier League","2007"
"15.01.2008","5 - 0","Luton Town","Anfield","FA Cup 3rd round replay","2007"
"21.01.2008","2 - 2","Aston Villa","Anfield","Premier League","2007"
"26.01.2008","5 - 2","Havant & Waterlooville","Anfield","FA Cup 4th round","2007"
"30.01.2008","0 - 1","West Ham United","Upton Park","Premier League","2007"
"02.02.2008","3 - 0","Sunderland","Anfield","Premier League","2007"
"10.02.2008","0 - 0","Chelsea","Stamford Bridge","Premier League","2007"
"16.02.2008","1 - 2","Barnsley","Anfield","FA Cup 5th round","2007"
"19.02.2008","2 - 0","Inter Milan","Anfield","Champions League  1st knockout r. 1st leg","2007"
"23.02.2008","3 - 2","Middlesbrough","Anfield","Premier League","2007"
"02.03.2008","3 - 1","Bolton Wanderers","Reebok Stadium","Premier League","2007"
"05.03.2008","4 - 0","West Ham United","Anfield","Premier League","2007"
"08.03.2008","3 - 0","Newcastle United","Anfield","Premier League","2007"
"11.03.2008","1 - 0","Inter Milan","San Siro","Champions League 1st knockout r. 2nd leg","2007"
"15.03.2008","2 - 1","Reading","Anfield","Premier League","2007"
"23.03.2008","0 - 3","Manchester United","Old Trafford","Premier League","2007"
"30.03.2008","1 - 0","Everton","Anfield","Premier League","2007"
"02.04.2008","1 - 1","Arsenal","Emirates Stadium","Champions League Quarter-final 1st leg","2007"
"05.04.2008","1 - 1","Arsenal","Emirates Stadium","Premier League","2007"
"08.04.2008","4 - 2","Arsenal","Anfield","Champions League Quarter-final 2nd leg","2007"
"13.04.2008","3 - 1","Blackburn Rovers","Anfield","Premier League","2007"
"19.04.2008","2 - 0","Fulham","Craven Cottage","Premier League","2007"
"22.04.2008","1 - 1","Chelsea","Anfield","Champions League Semi-final 1st leg","2007"
"26.04.2008","2 - 2","Birmingham City","St Andrews","Premier League","2007"
"30.04.2008","2 - 3","Chelsea","Stamford Bridge","Champions League Semi-final 2nd leg","2007"
"04.05.2008","1 - 0","Manchester City","Anfield","Premier League","2007"
"11.05.2008","2 - 0","Tottenham Hotspur","White Hart Lane","Premier League","2007"
"13.08.2008","0 - 0","Standard Liege","Stade de Sclessin","Champions League 3rd Qualifying round 1st leg","2008"
"16.08.2008","1 - 0","Sunderland","Stadium of Light","Premier League","2008"
"23.08.2008","2 - 1","Middlesbrough","Anfield","Premier League","2008"
"27.08.2008","1 - 0","Standard Liege","Anfield","Champions League 3rd Qualifying round 2nd leg","2008"
"31.08.2008","0 - 0","Aston Villa","Villa Park","Premier League","2008"
"13.09.2008","2 - 1","Manchester United","Anfield","Premier League","2008"
"16.09.2008","2 - 1","Marseille","Velodrome","Champions League First Group Phase","2008"
"20.09.2008","0 - 0","Stoke City","Anfield","Premier League","2008"
"23.09.2008","2 - 1","Crewe Alexandra","Anfield","League Cup 3rd round","2008"
"27.09.2008","2 - 0","Everton","Goodison Park","Premier League","2008"
"01.10.2008","3 - 1","PSV Eindhoven","Anfield","Champions League First Group Phase","2008"
"05.10.2008","3 - 2","Manchester City","City of Manchester Stadium","Premier League","2008"
"18.10.2008","3 - 2","Wigan Athletic","Anfield","Premier League","2008"
"22.10.2008","1 - 1","Atletico Madrid","Estadio Vicente Calderon","Champions League First Group Phase","2008"
"26.10.2008","1 - 0","Chelsea","Stamford Bridge","Premier League","2008"
"29.10.2008","1 - 0","Portsmouth","Anfield","Premier League","2008"
"01.11.2008","1 - 2","Tottenham Hotspur","White Hart Lane","Premier League","2008"
"04.11.2008","1 - 1","Atletico Madrid","Anfield","Champions League First Group Phase","2008"
"08.11.2008","3 - 0","West Bromwich Albion","Anfield","Premier League","2008"
"12.11.2008","2 - 4","Tottenham Hotspur","White Hart Lane","League Cup 4th round","2008"
"15.11.2008","2 - 0","Bolton Wanderers","Reebok Stadium","Premier League","2008"
"22.11.2008","0 - 0","Fulham","Anfield","Premier League","2008"
"26.11.2008","1 - 0","Marseille","Anfield","Champions League First Group Phase","2008"
"01.12.2008","0 - 0","West Ham United","Anfield","Premier League","2008"
"06.12.2008","3 - 1","Blackburn Rovers","Ewood Park","Premier League","2008"
"09.12.2008","3 - 1","PSV Eindhoven","Philips Stadion","Champions League First Group Phase","2008"
"13.12.2008","2 - 2","Hull City","Anfield","Premier League","2008"
"21.12.2008","1 - 1","Arsenal","Emirates Stadium","Premier League","2008"
"26.12.2008","3 - 0","Bolton Wanderers","Anfield","Premier League","2008"
"28.12.2008","5 - 1","Newcastle United","St James' Park","Premier League","2008"
"03.01.2009","2 - 0","Preston North End","Deepdale","FA Cup 3rd round","2008"
"10.01.2009","0 - 0","Stoke City","Britannia Stadium","Premier League","2008"
"19.01.2009","1 - 1","Everton","Anfield","Premier League","2008"
"25.01.2009","1 - 1","Everton","Anfield","FA Cup 4th round","2008"
"28.01.2009","1 - 1","Wigan Athletic","JJB Stadium","Premier League","2008"
"01.02.2009","2 - 0","Chelsea","Anfield","Premier League","2008"
"04.02.2009","0 - 1","Everton","Goodison Park","FA Cup 4th round replay","2008"
"07.02.2009","3 - 2","Portsmouth","Fratton Park","Premier League","2008"
"22.02.2009","1 - 1","Manchester City","Anfield","Premier League","2008"
"25.02.2009","1 - 0","Real Madrid","Bernabeu Stadium","Champions League  1st knockout r. 1st leg","2008"
"28.02.2009","0 - 2","Middlesbrough","Riverside","Premier League","2008"
"03.03.2009","2 - 0","Sunderland","Anfield","Premier League","2008"
"10.03.2009","4 - 0","Real Madrid","Anfield","Champions League 1st knockout r. 2nd leg","2008"
"14.03.2009","4 - 1","Manchester United","Old Trafford","Premier League","2008"
"22.03.2009","5 - 0","Aston Villa","Anfield","Premier League","2008"
"04.04.2009","1 - 0","Fulham","Craven Cottage","Premier League","2008"
"08.04.2009","1 - 3","Chelsea","Anfield","Champions League Quarter-final 1st leg","2008"
"11.04.2009","4 - 0","Blackburn Rovers","Anfield","Premier League","2008"
"14.04.2009","4 - 4","Chelsea","Stamford Bridge","Champions League Quarter-final 2nd leg","2008"
"21.04.2009","4 - 4","Arsenal","Anfield","Premier League","2008"
"25.04.2009","3 - 1","Hull City","Kingston Communications Stadium","Premier League","2008"
"03.05.2009","3 - 0","Newcastle United","Anfield","Premier League","2008"
"09.05.2009","3 - 0","West Ham United","Upton Park","Premier League","2008"
"17.05.2009","2 - 0","West Bromwich Albion","The Hawthorns","Premier League","2008"
"24.05.2009","3 - 1","Tottenham Hotspur","Anfield","Premier League","2008"
"16.08.2009","1 - 2","Tottenham Hotspur","White Hart Lane","Premier League","2009"
"19.08.2009","4 - 0","Stoke City","Anfield","Premier League","2009"
"24.08.2009","1 - 3","Aston Villa","Anfield","Premier League","2009"
"29.08.2009","3 - 2","Bolton Wanderers","Reebok Stadium","Premier League","2009"
"12.09.2009","4 - 0","Burnley","Anfield","Premier League","2009"
"16.09.2009","1 - 0","Debrecen VSC","Anfield","Champions League First Group Phase","2009"
"19.09.2009","3 - 2","West Ham United","Upton Park","Premier League","2009"
"22.09.2009","1 - 0","Leeds United","Elland Road","League Cup 3rd round","2009"
"26.09.2009","6 - 1","Hull City","Anfield","Premier League","2009"
"29.09.2009","0 - 2","Fiorentina","Stadio Artemio Franchi","Champions League First Group Phase","2009"
"04.10.2009","0 - 2","Chelsea","Stamford Bridge","Premier League","2009"
"17.10.2009","0 - 1","Sunderland","Stadium of Light","Premier League","2009"
"20.10.2009","1 - 2","Olympique Lyonnais","Anfield","Champions League First Group Phase","2009"
"25.10.2009","2 - 0","Manchester United","Anfield","Premier League","2009"
"28.10.2009","1 - 2","Arsenal","Emirates Stadium","League Cup 4th round","2009"
"31.10.2009","1 - 3","Fulham","Craven Cottage","Premier League","2009"
"04.11.2009","1 - 1","Olympique Lyonnais","Stade Gerland","Champions League First Group Phase","2009"
"09.11.2009","2 - 2","Birmingham City","Anfield","Premier League","2009"
"21.11.2009","2 - 2","Manchester City","Anfield","Premier League","2009"
"24.11.2009","1 - 0","Debrecen VSC","Ferenc Puskás","Champions League First Group Phase","2009"
"29.11.2009","2 - 0","Everton","Goodison Park","Premier League","2009"
"05.12.2009","0 - 0","Blackburn Rovers","Ewood Park","Premier League","2009"
"09.12.2009","1 - 2","Fiorentina","Anfield","Champions League First Group Phase","2009"
"13.12.2009","1 - 2","Arsenal","Anfield","Premier League","2009"
"16.12.2009","2 - 1","Wigan Athletic","Anfield","Premier League","2009"
"19.12.2009","0 - 2","Portsmouth","Fratton Park","Premier League","2009"
"26.12.2009","2 - 0","Wolves","Anfield","Premier League","2009"
"29.12.2009","1 - 0","Aston Villa","Villa Park","Premier League","2009"
"02.01.2010","1 - 1","Reading","Madejski Stadium","FA Cup 3rd round","2009"
"13.01.2010","1 - 2","Reading","Anfield","FA Cup 3rd round replay","2009"
"16.01.2010","1 - 1","Stoke City","Britannia Stadium","Premier League","2009"
"20.01.2010","2 - 0","Tottenham Hotspur","Anfield","Premier League","2009"
"26.01.2010","0 - 0","Wolves","Molineux","Premier League","2009"
"30.01.2010","2 - 0","Bolton Wanderers","Anfield","Premier League","2009"
"06.02.2010","1 - 0","Everton","Anfield","Premier League","2009"
"10.02.2010","0 - 1","Arsenal","Emirates Stadium","Premier League","2009"
"18.02.2010","1 - 0","Unirea Urziceni","Anfield","Europa League Round of 32","2009"
"21.02.2010","0 - 0","Manchester City","City of Manchester Stadium","Premier League","2009"
"25.02.2010","3 - 1","Unirea Urziceni","Ghencea Stadium","Europa League Round of 32","2009"
"28.02.2010","2 - 1","Blackburn Rovers","Anfield","Premier League","2009"
"08.03.2010","0 - 1","Wigan Athletic","DW Stadium","Premier League","2009"
"11.03.2010","0 - 1","Lille","Stadium Lille Métropole","Europa League Round of 16","2009"
"15.03.2010","4 - 1","Portsmouth","Anfield","Premier League","2009"
"18.03.2010","3 - 0","Lille","Anfield","Europa League Round of 16","2009"
"21.03.2010","1 - 2","Manchester United","Old Trafford","Premier League","2009"
"28.03.2010","3 - 0","Sunderland","Anfield","Premier League","2009"
"01.04.2010","1 - 2","Benfica","Estadio da Luz","Europa League Quarter Finals","2009"
"04.04.2010","1 - 1","Birmingham City","St Andrews","Premier League","2009"
"08.04.2010","4 - 1","Benfica","Anfield","Europa League Quarter Finals","2009"
"11.04.2010","0 - 0","Fulham","Anfield","Premier League","2009"
"19.04.2010","3 - 0","West Ham United","Anfield","Premier League","2009"
"22.04.2010","0 - 1","Atletico Madrid","Estadio Vicente Calderon","Europa League Semi Finals","2009"
